fixture,home_directfk_xG,home_corner_xG,home_op_xG,home_pen_xG,home_setpiece_xG,home_directfk_shots_ot,home_corner_shots_ot,home_op_shots_ot,home_pen_shots_ot,home_setpiece_shots_ot,home_directfk_shots,home_corner_shots,home_op_shots,home_pen_shots,home_setpiece_shots,home_directfk_goals,home_corner_goals,home_op_goals,home_pen_goals,home_setpiece_goals,date,away_directfk_xG,away_corner_xG,away_op_xG,away_pen_xG,away_setpiece_xG,away_directfk_shots_ot,away_corner_shots_ot,away_op_shots_ot,away_pen_shots_ot,away_setpiece_shots_ot,away_directfk_shots,away_corner_shots,away_op_shots,away_pen_shots,away_setpiece_shots,date,away_directfk_goals,away_corner_goals,away_op_goals,away_pen_goals,away_setpiece_goals,home_xG,away_xG,home_np_xG,away_np_xG,home_sp_xG,away_sp_xG,season,league
Burnley -- Sunderland,0.050609201192855835,0.05412040092051029,0.6059438567608595,0.0,0.0,0,0,6,0,0,1,2,13,0,0,0,0,0,0,0,2014-09-20 15:00:00,0.0,0.020014500245451927,0.5535785919055343,0.0,0.06991859897971153,0,0,4,0,2,0,1,11,0,2,2014-09-20 15:00:00,0,0,0,0,0,0.7106734588742256,0.6435116911306977,0.7106734588742256,0.6435116911306977,0.10472960211336613,0.08993309922516346,2014,EPL
Newcastle United -- Hull,0.0,0.04395009856671095,1.8791662715375423,0.0,0.0,0,0,7,0,0,0,2,23,0,0,0,0,2,0,0,2014-09-20 15:00:00,0.0,0.0,0.2697345996275544,0.0,0.5972332581877708,0,0,3,0,0,0,0,6,0,4,2014-09-20 15:00:00,0,0,2,0,0,1.9231163701042533,0.8669678578153253,1.9231163701042533,0.8669678578153253,0.04395009856671095,0.5972332581877708,2014,EPL
Swansea -- Southampton,0.0,0.07532870024442673,0.4449332021176815,0.0,0.0,0,0,1,0,0,0,1,4,0,0,0,0,0,0,0,2014-09-20 15:00:00,0.0539156012237072,0.0,0.6963283978402615,0.0,0.0,1,0,3,0,0,1,0,10,0,0,2014-09-20 15:00:00,0,0,1,0,0,0.5202619023621082,0.7502439990639687,0.5202619023621082,0.7502439990639687,0.07532870024442673,0.0539156012237072,2014,EPL
West Ham -- Liverpool,0.07396630011498928,0.013300400227308273,0.46774919517338276,0.0,0.7053089737892151,0,0,6,0,1,2,1,9,0,1,0,0,2,0,1,2014-09-20 17:30:00,0.0,0.0,0.38007720094174147,0.0,0.0,0,0,5,0,0,0,0,11,0,0,2014-09-20 17:30:00,0,0,1,0,0,1.2603248693048954,0.38007720094174147,1.2603248693048954,0.38007720094174147,0.7925756741315126,0.0,2014,EPL
Leicester -- Manchester United,0.0,0.04815170168876648,0.9717092905193567,1.5223380327224731,0.0,0,0,3,2,0,0,1,12,2,0,0,0,3,2,0,2014-09-21 13:30:00,0.04062519967556,0.6122244782745838,1.0648342901840806,0.0,0.0,0,1,4,0,0,1,4,11,0,0,2014-09-21 13:30:00,0,0,3,0,0,2.5421990249305964,1.7176839681342244,1.0198609922081232,1.7176839681342244,0.04815170168876648,0.6528496779501438,2014,EPL
Tottenham -- West Bromwich Albion,0.0,0.15128489583730698,0.2873111926019192,0.0,0.0,0,0,1,0,0,0,3,4,0,0,0,0,0,0,0,2014-09-21 13:30:00,0.0,0.7061927914619446,0.37781380489468575,0.0,0.0,0,2,2,0,0,0,6,4,0,0,2014-09-21 13:30:00,0,1,0,0,0,0.43859608843922615,1.0840065963566303,0.43859608843922615,1.0840065963566303,0.15128489583730698,0.7061927914619446,2014,EPL
Everton -- Crystal Palace,0.0678929015994072,0.2868207022547722,1.5237627234309912,0.7611690163612366,0.0,0,1,3,1,0,1,3,12,1,0,0,0,1,1,0,2014-09-21 16:00:00,0.0,0.08366510272026062,0.784025514498353,0.7611690163612366,0.0,0,0,2,1,0,0,1,8,1,0,2014-09-21 16:00:00,0,0,2,1,0,2.639645343646407,1.6288596335798502,1.8784763272851706,0.8676906172186136,0.3547136038541794,0.08366510272026062,2014,EPL
Manchester City -- Chelsea,0.0,0.13276739604771137,0.9240954928100109,0.0,0.0,0,1,3,0,0,0,3,13,0,0,0,0,1,0,0,2014-09-21 16:00:00,0.08433279767632484,0.0,0.7594570145010948,0.0,0.1771354004740715,0,0,1,0,1,2,0,2,0,2,2014-09-21 16:00:00,0,0,1,0,0,1.0568628888577223,1.0209252126514912,1.0568628888577223,1.0209252126514912,0.13276739604771137,0.26146819815039635,2014,EPL
Liverpool -- Everton,0.15148480236530304,0.21626729797571898,1.1636952236294746,0.0,0.0,2,1,5,0,0,3,5,16,0,0,1,0,0,0,0,2014-09-27 12:45:00,0.0,0.0,0.35692279785871506,0.0,0.11896099895238876,0,0,5,0,0,0,0,10,0,1,2014-09-27 12:45:00,0,0,1,0,0,1.5314473239704967,0.4758837968111038,1.5314473239704967,0.4758837968111038,0.367752100341022,0.11896099895238876,2014,EPL
Chelsea -- Aston Villa,0.0,0.03798979893326759,3.273223364725709,0.0,0.0,0,0,7,0,0,0,1,16,0,0,0,0,3,0,0,2014-09-27 15:00:00,0.0,0.08392219990491867,0.0773042794317007,0.0,0.06766989827156067,0,0,1,0,0,0,1,5,0,1,2014-09-27 15:00:00,0,0,0,0,0,3.3112131636589766,0.22889637760818005,3.3112131636589766,0.22889637760818005,0.03798979893326759,0.15159209817647934,2014,EPL
