fixture,home_directfk_xG,home_corner_xG,home_op_xG,home_pen_xG,home_setpiece_xG,home_directfk_shots_ot,home_corner_shots_ot,home_op_shots_ot,home_pen_shots_ot,home_setpiece_shots_ot,home_directfk_shots,home_corner_shots,home_op_shots,home_pen_shots,home_setpiece_shots,home_directfk_goals,home_corner_goals,home_op_goals,home_pen_goals,home_setpiece_goals,date,away_directfk_xG,away_corner_xG,away_op_xG,away_pen_xG,away_setpiece_xG,away_directfk_shots_ot,away_corner_shots_ot,away_op_shots_ot,away_pen_shots_ot,away_setpiece_shots_ot,away_directfk_shots,away_corner_shots,away_op_shots,away_pen_shots,away_setpiece_shots,away_directfk_goals,away_corner_goals,away_op_goals,away_pen_goals,away_setpiece_goals,home_xG,away_xG,home_np_xG,away_np_xG,home_sp_xG,away_sp_xG,season,league
Napoli -- Cagliari,0,0.575562295,1.305063592,0,0.013553,0,2,3,0,0,0,13,16,0,1,0,0,0,0,0,25/09/2019 19:00,0,0,0.534885107,0,0,0,0,1,0,0,0,0,5,0,0,0,0,1,0,0,1.894178887,0.534885107,1.894178887,0.534885107,0.589115295,0,2019,SerieA
Parma Calcio 1913 -- Sassuolo,0,0,0.745092394,0.761299014,0,0,0,4,1,0,0,0,9,1,0,0,0,0,0,0,25/09/2019 19:00,0,0.019539701,0.486168499,0,0,0,1,2,0,0,0,1,11,0,1,0,0,0,0,0,1.506391408,0.5057082,0.745092394,0.5057082,0,0.019539701,2019,SerieA
SPAL 2013 -- Lecce,0.142577596,0.118394099,0.664885174,0,0,0,1,5,0,0,2,2,14,0,0,0,0,1,0,0,25/09/2019 19:00,0,0,0.3717802,1.522598028,0,0,0,1,2,0,0,0,6,2,0,0,0,1,2,0,0.925856869,1.894378228,0.925856869,0.3717802,0.260971695,0,2019,SerieA
Torino -- AC Milan,0,0.0158103,1.147931872,0,0,0,0,4,0,0,0,1,8,0,0,0,0,2,0,0,26/09/2019 19:00,0.053233799,0.081329301,1.399274401,0.761299014,0,0,0,3,1,0,1,2,11,1,0,0,0,0,1,0,1.163742172,2.295136515,1.163742172,1.533837501,0.0158103,0.1345631,2019,SerieA
Juventus -- SPAL 2013,0.048438001,0.154877097,2.162346192,0,0,0,1,9,0,0,1,4,16,0,0,0,0,2,0,0,28/09/2019 13:00,0,0.086713403,0.073565599,0,0,0,1,0,0,0,0,2,3,0,0,0,0,0,0,0,2.36566129,0.160279002,2.36566129,0.160279002,0.203315099,0.086713403,2019,SerieA
Sampdoria -- Inter,0.1011158,0.474117504,0.701474001,0,0.0409707,0,0,1,0,1,2,3,13,0,2,0,0,1,0,0,28/09/2019 16:00,0,0.194365202,1.994841658,0,0,0,0,7,0,0,0,4,11,0,0,0,0,3,0,0,1.317678005,2.189206859,1.317678005,2.189206859,0.616204005,0.194365202,2019,SerieA
Sassuolo -- Atalanta,0.049555,0.015715601,0.359934999,0,0.0170302,0,1,6,0,0,1,1,10,0,1,0,0,1,0,0,28/09/2019 18:45,0,0.203170002,2.227639398,0,0,0,0,7,0,0,0,3,10,0,0,0,0,4,0,0,0.4422358,2.430809399,0.4422358,2.430809399,0.082300801,0.203170002,2019,SerieA
Napoli -- Brescia,0,0.437358204,2.119753279,0,0,0,1,6,0,0,0,4,16,0,0,0,1,1,0,0,29/09/2019 10:30,0.0421401,0.407638311,0.256207697,0,0.439425299,1,1,1,0,0,1,4,8,0,3,0,1,0,0,0,2.557111483,1.145411408,2.557111483,1.145411408,0.437358204,0.88920371,2019,SerieA
Lazio -- Genoa,0.0266199,0.0383958,1.55491749,0,0,0,1,9,0,0,1,1,13,0,0,0,1,3,0,0,29/09/2019 13:00,0,0.120395999,0.838982976,0,0.043423099,0,2,4,0,0,0,2,9,0,2,0,0,0,0,0,1.61993319,1.002802075,1.61993319,1.002802075,0.0650157,0.163819099,2019,SerieA
Lecce -- Roma,0,0,0.793717605,0,0,0,0,6,0,0,0,0,13,0,0,0,0,0,0,0,29/09/2019 13:00,0,0.709116907,1.528348627,0.761299014,0,0,1,4,1,0,0,8,10,1,0,0,0,1,0,0,0.793717605,2.998764548,0.793717605,2.237465533,0,0.709116907,2019,SerieA
Udinese -- Bologna,0.065625697,0,0.733258106,0,0.039757099,0,0,2,0,1,1,0,9,0,1,0,0,1,0,0,29/09/2019 13:00,0.0852498,0.065726498,0.504908998,0,0.103547905,1,1,1,0,0,2,2,6,0,2,0,0,0,0,0,0.838640902,0.759433202,0.838640902,0.759433202,0.105382796,0.254524203,2019,SerieA
